term,definition
ECMO - Extra Corporeal Membrane Oxygenation,"In patients who are unable to provide oxygen for their own blood or enough blood circulation, they can be put on life support known as extra corporeal membrane oxygenation. The blood is withdrawn from a large vein in the body and passes through a pumping mechanism, and then through a device which puts oxygen into the blood and removes carbon dioxide from the blood. The blood is then returned to the body and circulated in such a way as to sustain life."
Ectopic,Out of place. An ectopic heart beat originates in an abnormal location of the heart.
Edema,"Abnormal swelling of tissue due to fluid buildup, usually in the hands, feet, ankles, legs or abdomen; may be a complication of heart failure."
Eisenmenger's Complex,"A disease characterized by thickening of the pulmonary arteries, elevated blood pressure in the lungs, and heart failure. Eisenmenger's syndrome develops as a complication of ventricular septal defect, a congenital disorder."
Ejection Fraction (EF),The amount of blood pumped out of a ventricle during each heart beat. The ejection fraction evaluates how well the heart is pumping; Normally 50 - 70 percent.
Electrocardiogram (EKG or ECG),A test that records on graph paper the electrical activity of the heart via small electrode patches attached to the skin. An EKG helps a physician determine the causes of abnormal heartbeat or detect heart damage.
Electrolyte,One of the substances in the blood that helps to regulate the proper balance of body fluids. Examples of electrolytes include sodium and potassium.
Electrophysiology (EP) Study,"An EP Study is a recording of the electrical activity your heart. This test is used to help your doctor find out the cause of your rhythm disturbance and the best treatment for you. During the test, your doctor may safely reproduce your arrhythmia, then give you medications to see which one controls it best."
Embolism,The blockage of an artery by an embolus (see below).
Embolus,"A blood clot that moves through the blood stream. When forced into a smaller blood vessel, it can create an obstruction."
Emphysema,"A degenerative disease characterized by the destruction, or breakdown, of the walls of the alveoli (air sacs) located at the end of the bronchial tubes. The damaged alveoli are not able to exchange oxygen and carbon dioxide between the lungs and the blood. The bronchioles lose their elasticity and collapse during exhalation, trapping air in the lungs. The trapped air keeps fresh air and oxygen from entering the lungs."
Empyema,A collection of pus in the pleural space (the cavity between the lung and the membrane that surrounds it).
Endocarditis (SBE),An infection of the inner lining of the heart or its valves. It is usually caused by bacteria and is more likely to occur in people who have heart valve defects or have had heart surgery to treat valve disease.
Endocardium,"The smooth, inner lining of the heart chambers."
Endoscopic Screenings,"A diagnostic procedure used to view the lining of the esophagus, stomach, small bowel or colon."
Endothelium,"The interior surfaces of blood vessels. The endothelium, which is the site of atherosclerosis in arteries, is composed of specialized cells called epithelial cells."
Endotracheal Tube (b reathing tube ),A temporary tube put into the nose or mouth. Anesthesia or air and oxygen pass through the tube allowing artificial breathing.
Enhanced External Counterpulsation (EECP),"A treatment for those with symptomatic coronary artery disease, not eligible for standard treatments of revascularization. During EECP, cuffs wrapped around the calves, thighs and buttocks are inflated and deflated, gently but firmly compressing the blood vessels in the lower limbs, increasing blood flow to the heart. EECP may stimulate the openings or formation of collateral vessels to create a ""natural bypass"" around narrowed or blocked arteries."
Enzyme,A protein in cells that stimulates chemical reactions in the body.
Epicardium,The thin membrane surrounding the myocardium
Epidemiology,"The study of large populations to determine the frequency, distribution, and risk factors associated with a particular disease."
Epinephrine,"A hormone produced by the adrenal glands that also acts as a neurotransmitter for nerve cells. As part of the fight-or-flight response, epinephrine signals the heart to pump harder, increases blood pressure and has other effects on the cardiovascular system. Also called adrenaline."
"Erythrocyte (red blood cell, red cell, red corpuscle)",Red blood cell that delivers oxygen to tissues and removes carbon dioxide and other waste products.
Esophageal Cancer,The uncontrolled growth of abnormal cells in the esophagus. The uncontrolled reproduction of cells results in the formation of tumors that can block or compress the esophagus.
Esophageal Diverticulum,A sac or pouch protruding from the esophagus.
Esophageal Manometry,A test that measures the timing and strength of the contractions of the esophagus and the relaxations of the lower esophageal sphincter valve.
Esophageal Perforation,A tear in the esophagus that requires emergency surgical treatment.
Esophageal pH Test,A test that measures the pH in the esophagus to determine if you have GERD.
Esophagectomy,Also called esophageal resection surgery. Surgical removal of the esophagus. An esophagectomy may be performed as a treatment for high-grade dysplasia or cancer.
Esophagitis,An inflammation of the lining of the esophagus.
Esophagogastrectomy,The removal of a portion of the lower esophagus and part of the stomach for treatment of tumors or strictures of those organs.
Esophagoscopy,"A diagnostic test in which a flexible, narrow tube called an endoscope is passed through the mouth or nose into the esophagus to produce images of the inside of the esophagus. This video examination projects images onto a screen."
Esophagus,The muscular tube that extends from the neck to the abdomen and connects the throat to the stomach.
Essential Fatty Acid,"A type of fatty acid that the body cannot produce and which must be obtained from food; play a role in recovery after surgery, the making of cell membranes, and prevention of infection."
Estrogen,The primary female sex hormone.
Event Monitor (loop recorder),"A small recorder (monitor) is attached to electrodes on your chest. It is worn continuously for a period of time. If symptoms are felt, an event button can be depressed, and the heart's rhythm is recorded and saved in the recorder. The rhythm can be saved and transmitted over the phone line."
Exacerbation,Worsening.
Exercise Stress Echocardiogram (stress echo),"A procedure that combines echocardiography with exercise to evaluate the heart's function at rest and with exertion. Echocardiography is an imaging procedure that creates a picture of the heart's movement, valves and chambers using high-frequency sound waves that come from a hand held wand placed on your chest. Echo is often combined with Doppler ultrasound and color Doppler to evaluate blood flow across the heart's valves."
Exercise Stress Test,"A test used to provide information about how the heart responds to stress. It usually involves walking on a treadmill or pedaling a stationary bike at increasing levels of difficulty, while the electrocardiogram, heart rate and blood pressure are monitored. When one is not able to do activity, medications may be used to ""stress"" the heart. This is called a pharmacological stress test."
Fat,A high-energy fuel source.
Fat Substitute,Fat substitutes are ingredients that mimic one or more of the roles of fat in a food.
Fatty Acid,A building block of fat.
Fiber,An indigestible carbohydrate found in fruits and vegetables; aids in digestion.
Fibrillation,"Abnormally rapid, inefficient contractions of the atria or ventricles. Ventricular fibrillation is life-threatening."
Fibrin,A protein that helps blood to clot and aids in the healing of wounds. Fibrin is also a component of artery-clogging plaque.
Flutter,A rapid type of heart beat.
Foramen Ovale,An opening between the atria of the heart that normally closes shortly after birth. An atrial septal defect may develop if the foramen ovale fails to close properly.
Free Mammary Artery Graft,When the surgeon removes the mammary artery from its origin to use as a bypass graft.
Free Radical,A destructive fragment of oxygen produced as a byproduct when cells use oxygen to burn fat.
Gangrene,"Death of tissue due to inadequate blood supply, usually affects the extremities (hands or feet), is more likely to occur in people with atherosclerosis, vascular disease, or other conditions associated with poor blood circulation."
Gastroenterologist,"Physician who specializes in diagnosing and treating disorders of the digestive system, such as hepatitis, ulcerative colitis, Crohn's disease, and colon or rectal cancer. Gastroenterologists may perform many specialized tests, such as endoscopy, to diagnose or treat diseases. When necessary, they may consult with surgeons."
Gastroesophageal Reflux Disease (GERD),"A condition that occurs when the contents of the stomach travel back up into the esophagus. When you swallow, food passes down your throat and through your esophagus to your stomach. A valve called the lower esophageal sphincter (LES) controls the passage of food from the esophagus to the stomach when you swallow. It remains tightly closed except when you swallow food. When this muscle fails to close or opens spontaneously, the acid, bile and food contents of the stomach can travel backward into the esophagus. When stomach acid enters the lower part of the esophagus, it can produce a burning sensation, commonly referred to as heartburn."
Gastrostomy,"An artificial opening from the stomach to a hole (stoma) in the abdomen where a feeding tube is inserted. The feeding tube allows the delivery of nutrients directly into the small intestine, bypassing the stomach. A feeding may be needed temporarily after certain surgeries to allow recovery. See also enteral nutrition."
Gene Therapy,Gene therapy is correcting functional gene loss by delivering genes to human tissues. Often DNA viruses engineered to be safe or nonviral DNA are used to help deliver a healthy gene to the tissue cells.
Gingival Hypertrophy,"Enlargement of the gums. A common side effect of the medication cyclosporine (Sandimmune), this condition is easily managed with good oral hygiene."
Glucose,"Blood sugar. Manufactured by the body from carbohydrates, protein, and fat, glucose is the main source of energy for all living organisms."
Graft,A transplanted tissue or organ (such as the lung or liver).
Great Vessels,"The large blood vessels that enter the heart: the aorta, the pulmonary artery and vein, and the venae cavae."
H2-Receptor Antagonists,"Also called H2 receptor blockers or histamine receptor blockers. Medications that control or eliminate acid, but may not be as effective as proton pump inhibitors. H2-receptor antagonists may be used to treat gastroesophageal reflux disease (GERD) and include cimetidine (Tagamet HB), famotidine (Pepcid AC), nizatidine (Axid AR), and ranitidine (Zantac 75). Some of these medications are available over-the-counter, but should not be used for more than a few weeks at a time."
"Head Upright Tilt Test (HUT, tilt table test, head-up tilt test)","A test used to determine the cause of fainting spells. The test involves being tilted at different angles for a period of time. Heart rhythm, blood pressure, and other measurements are evaluated with changes in position."
Heart Attack (myocardial infarction),"Permanent damage to the heart muscle caused by a lack of blood supply to the heart for an extended time period. The severity of damage varies from normal, mild, to severe."
Heart Block,"An arrhythmia. The electrical current is slowed between the atria and ventricles. In more severe cases, conduction is blocked completely and the atria and ventricles beat independently."
Heart Burn,"A burning sensation in the chest that may occur after eating, bending, stretching, exercise and sometimes at night when lying down. Heartburn symptoms are usually relieved by antacids and may be more frequent or worse at night."
Heart Failure (CHF - Congestive Heart Failure),"A chronic, progressive disease in which the myocardium (heart muscle) weakens and can not pump blood efficiently. Fluid accumulates in the lungs, hands, ankles, or other parts of the body."
Heart Lung Bypass Machine,A machine that oxygenates the blood and circulates it throughout the body during surgery.
Heart Monitor,An electrocardiography machine designed to monitor heart function continuously.
Heart Surgery,"Heart surgery is any surgery, which involves the heart or heart valves."
Heart Valve,"There are four valves in the heart: the tricuspid and the mitral valve, which lie between the atria and ventricles and the pulmonic and aortic valves which lie between the ventricles and the blood vessels leaving the heart. The heart valves help to maintain one-way blood flow through the heart."
Heller Myotomy,A surgical treatment for achalasia in which the muscles of the valve between the esophagus into the stomach are cut. Traditional Heller myotomy surgery is completed through an open incision in the abdomen or through an incision in the left side of the chest between the ribs. Laparoscopic Heller myotomy surgery can be performed using smaller incisions with a minimally invasive approach.
Hemoglobin,A protein in red blood cells that transports oxygen and carbon dioxide and gives blood its red color.
Hemorrhaging,Heavy bleeding. A cerebral hemorrhage can lead to a stroke.
Heparin Lock (Hep-Lock),A small tube connected to a catheter in a vein in the arm for easy access.
Herpes,"An infection for which transplant patients are at risk. It appears as small sores on the skin, lips or genitals. When there are no sores, the herpes virus lies dormant (not causing infection) in the body."
Hiatal Hernia,"Also called hiatus hernia. An area of the stomach that bulges up into the chest through the hiatus. Normally, the esophagus (food pipe) goes through the hiatus to drain into the stomach. In a hiatal hernia , the stomach bulges up into the chest through that opening."
Hiatus,An opening in the diaphragm -- the muscular wall separating the chest cavity from the abdomen.
Hibernating Myocardium,"After a heart attack, some areas of heart muscle do not pump as they should. Some areas will have permanent damage. Other areas are able to return to their normal function if blood flow is returned to that area by medications or a procedure. Hibernating myocardium is heart muscle that is ""resting"" and may possibly return to normal function."
High Blood Pressure,See hypertension
High Density Lipoprotein (HDL),"Lipoprotein particle in the blood. HDL is known as ""good"" cholesterol because it deposits cholesterol in the liver, where it is excreted by the body. High HDL is thought to protect against coronary artery disease."
Hirsutism,"An excessive increase of hair growth, sometimes leading to male-pattern hair growth in a female. A common side effect of corticosteroids, it can also occur with cyclosporine (Sandimmune) therapy. Hirsutism can be easily treated with depilatory creams or other hair removal methods."
Histamine,"A naturally-occurring substance that is released by the immune system after being exposed to an allergen. When you inhale an allergen, mast cells located in the nose and sinus membranes release histamine. Histamine then attaches to receptors on nearby blood vessels, causing them to enlarge (dilate). Histamine also binds to other receptors located in nasal tissues, causing redness, swelling, itching and changes in the secretions."
Histamine Receptor Blockers (H2 blockers),See H2 receptor antagonists.
Histocompatibility Antigens,Molecules found on all nucleated cells in the body that characterize each individual as unique. These antigens are inherited from one's parents. Human leukocyte antigens determine the compatibility of tissues for transplantation from one individual to another.
HLA System (Human Leukocyte Antigens),"There are three major genetically controlled groups: HLA-A, HLA-B and HLA-DR. In transplantation, the HLA tissue types of the donor and recipient are sometimes an important part of the selection process. This depends on the recipient's antibodies."
Holter Monitor,"A small recorder (monitor) is attached to electrodes on your chest. It records the heart's rhythm continuously for 24 hours. After the monitor is removed the heart's beats are counted and analyzed by a technician with the aid of a computer. Your doctor can learn if you are having irregular heart beats, what kind they are, how long they last, as well as what may cause them."
Homocysteine,An amino acid. High levels of homocysteine are a risk factor for coronary artery disease.
Hormone,A chemical produced by the body that travels the bloodstream delivering messages between organs and glands.
Hospice,"A program that provides care for the terminally ill in the form of pain relief, counseling, and support, either at home or in a facility."
Hydration,Provision of fluids by any means to prevent dehydration.
Hydrogenation,"A process used by food manufacturers to harden unsaturated liquid vegetable oils into saturated fats, in order to increase the shelf-life of a product or make it thicker in consistency."
Hyperhidrosis,"A medical condition in which a person sweats excessively and unpredictably. People with hyperhidrosis can sweat even when the temperature is cool, and when they are at rest."
Hyperlipidemia,"High levels of fatty substances in the blood, such as cholesterol and triglycerides."
Hypertension,High blood pressure.
Hyperthyroidism,A condition caused by excessive production of thyroid hormones; can cause irregular heartbeat.
Hypertrophic Cardiomyopathy (HCM),"In this condition, the muscle mass of the left ventricle enlarges or ""hypertrophies."""
Hypertrophy,An abnormal enlargement of an organ or thickening of its tissue. Ventricular hypertrophy is the name given to a thickened ventricle.
Hyperventilation,Excessive rate and depth of breathing.
Hypotension,Low blood pressure.
Hypoxia,"Insufficient oxygen in the tissues, even though blood flow is adequate."
I/E Ratio,"Inhalation/exhalation ratio, or the relative length of inhalation (breathing in) compared to exhalation (breathing out)."
Idiopathic,When the cause of a disease or process is not known.
IHSS,Idiopathic Hypertrophic Subaortic Stenosis is another term used synonymously with hypertrophic obstructive cardiomyopathy.
Iliac Veins,The two principal veins returning blood from the lower part of the body. The iliac veins eventually join to form the inferior vena cava.
Immune Response,"The body's defense against foreign objects or organisms, such as bacteria, viruses or transplanted organs or tissue."
Immune System,"The body's response mechanism for fighting against bacteria, viruses and other foreign substances. If a cell or tissue (such as bacteria or a transplanted organ) is recognized as not belonging to the body, the immune system will act against the ""invader."" The immune system is the body's way to fight disease."
Immunosuppressant Drug,"A drug that prevents the immune system from responding to cells that it recognizes as foreign to the body. Such drugs prevent the immune system from recognizing that a transplanted organ, such as a lung, is not the organ a person had when he or she was born."
Immunosuppression,"The artificial suppression of the immune response, usually through drugs, so that the body will not reject a transplanted organ or tissue. Drugs commonly used to suppress the immune system after transplant include prednisone, azathioprine (Imuran), mycophenolate mofetil (CellCept), and cyclosporine (Neoral)."
Implantable Cardioverter Defibrillator (ICD),"An ICD is a surgically inserted electronic device that constantly monitors your heart rate and rhythm. When it detects a very fast, abnormal heart rhythm, it delivers electrical energy to the heart muscle. This causes the heart to beat in a normal rhythm again."
Incentive Spirometer,A device that is used to encourage deep inspiration to expand the lungs and improve cough effectiveness.
Infarction,Tissue death due to lack of oxygen-rich blood.
Infectious Disease Team,A team of physicians and nurses who help control the hospital environment to protect you against harmful sources of infection.
Inflammation,"One of the body’s defense mechanisms, inflammation results in increased blood flow in response to infection and certain chronic conditions. Symptoms of inflammation include redness, swelling, pain and heat."
Informed Consent,"A process of reaching an agreement based on full disclosure. Informed consent has components of disclosure, comprehension, competence and voluntary response. Informed consent often refers to the process by which one decides to donate the organs of a loved one."
Innocent Heart Murmurs (functional or physiologic murmur),Sounds made by the blood circulating through the heart's chambers and valves or through blood vessels near the heart. Innocent murmurs are common in children and are quite harmless.
Innominate Veins,The two principle veins returning blood from the upper part of the body. The innominate veins eventually join to form the superior vena cava.
Inotrope Medication,A medication used to strengthen the heart's contractions and improve blood circulation.
Insomnia,Difficulty sleeping
Insulin,A hormone produced by the pancreas that helps the body metabolize sugar.
Intensive Care Unit (ICU),A special nursing area devoted to providing continuous and immediate care to patients recovering right after surgery or to seriously ill patients.
Intermittent Claudication,Leg pain brought on by walking because of narrowed or blocked arteries cannot provide enough blood flow to the muscles of the legs. Intermittent claudication can be caused by atherosclerosis or a spasm or occlusion in an artery.
Intima,The inner layer of the arterial wall. Atherosclerosis originates in the intima.
Intra-Aortic Balloon Pump Assist Device,The intra-aortic balloon pump is a machine that can help the pumping function of the heart. It is usually inserted through an artery in the groin area and threaded backwards into the descending thoracic aorta in the chest. In this location the balloon inflates and deflates in synchrony with the heart in order to aid the blood pumping function of the heart in patients with cardiac disease.
Intracardiac Tumor,"An Intracardiac Tumor can be any tumor of the heart, either malignant or benign. The most common tumor of the heart is a benign atrial myxoma."
Intravascular,Inside a blood vessel.
Intravascular ultrasound (IVUS),"An invasive procedure, performed along with cardiac catheterization; a miniature sound probe (transducer) on the tip of a coronary catheter is threaded through the coronary arteries and, using high-frequency sound waves, produces detailed images of the interior walls of the arteries."
Intravenous (IV),"Delivery of drugs, fluids or food directly into a vein."
Intubation,Placing a tube in the trachea (wind pipe) to enable artificial breathing.
Invasive,Penetrating. Invasive tests or procedures are those that penetrate the body or puncture the skin.
Ischemia,Reduced blood flow to an area of the body due to an obstructed vessel.
Ischemic Ulcers,"Non-healing ulcers on feet or hands, usually quite painful. Often blood flow needs to be increased before the ulcer will heal."
Jejunostomy Tube (J-tube),"A feeding tube that is inserted through the skin on the abdomen into the small intestine. The feeding tube allows the delivery of nutrients directly into the small intestine, bypassing the stomach. A J-tube may be needed temporarily after certain surgeries to allow recovery."
Laparoscopic Antireflux Surgery,See Nissen fundoplication.
Laparoscopic Heller Myotomy,"A minimally-invasive surgical procedure used to treat achalasia. This surgical treatment opens up the lower valve (lower esophageal sphincter) so that food passes from the mouth to the stomach by gravity. Because the lower esophageal sphincter’s function is to stop the return of gastric contents into the esophagus, a partial fundoplication procedure is also performed to minimize reflux and protect the esophagus from damaging gastroesophageal reflux (GERD)."
Laparoscopic Surgery,"A minimally invasive surgical technique. During laparoscopic surgery, the surgeon inserts a thin, telescopic-like instrument called a laparoscope through a small incision above the umbilicus (belly button). The laparoscope is connected to a tiny video camera -- smaller than a dime -- that projects a view of the abdomen onto video monitors located in the operating room. The abdomen is inflated with carbon dioxide, a gas, to allow your surgeon a better view of the operative area. Three or four additional small incisions are made in the abdomen through which the surgeon inserts specialized surgical instruments. The surgeon uses these instruments to perform the operation. As compared with traditional surgery, patients who undergo laparoscopic surgery experience decreased postoperative pain, shorter hospital stay and a more rapid recovery and return to work. Other possible benefits include reduced risk of infection and less bleeding."
Laparoscopy,An evaluation that involves looking into the abdominal cavity with a special camera (called a laparoscope).
Lead Extraction,A lead is a special wire that delivers energy from a pacemaker or implantable cardioverter defibrillator (ICD) to the heart muscle. A lead extraction is the removal of one or more leads from inside the heart. Leads that are placed outside the heart during open heart surgery cannot be removed during this type of procedure.
Leaflets,Thin pieces of tissue or flaps that make up a valve.
Left Ventricular Assist Device (LVAD),"In patients with end-stage heart disease whose hearts do not pump a sufficient amount of blood to keep the body healthy, it is possible to place a mechanical device that aids in the pumping function of the blood. This device is known as a left ventricular assist device. There are many devices available for implantation."
Legal Guardian,A person charged (usually by court appointment) with the power and duty of taking care of and managing the property and rights of another person who is unable to take care of their own affairs.
Leukocyte (white blood cell),Cells in the blood that seeks and destroys disease-causing microorganisms.
Leukotriene Modifier,medication that blocks chemicals called leukotrienes in the airways. Leukotrienes occur naturally in the body and cause tightening of airway muscles and production of excess mucus and fluid. Leukotriene modifiers work by blocking leukotrienes and decreasing these reactions.
Life-Sustaining Treatment,A medical treatment given to a patient that prolongs life and delays death.
Linolenic Acid (Omega 3),"An essential fatty acid. Omega3, which is found in fish and certain plants, may reduce the risk of cardiovascular disease and myocardial infarction by lowering triglyceride levels and blood pressure and preventing the formation of life-threatening thrombi."
Lipid,Fat circulating in the blood.
Lipoprotein,A combination of fat and protein that transports lipids (fats) in the blood.
Living Will,A written advance directive in which an individual states which health care decisions should be made if the individual becomes unable to make these decisions.
Lobectomy,Removal of a lobe of the lung. Lobectomy is the most common surgery performed to treat lung cancer. Also see video-assisted lobectomy surgery.
Long QT Syndrome (LQTS),"LQTS is a disorder of the heart’s electrical system. LQTS is a defect in the ion channels, causing a delay in the time it takes for the electrical system to recharge after each heartbeat. When the QT interval is longer than normal, it increases the risk for torsade de pointes, a life-threatening form of ventricular tachycardia."
Loop Recorder (event monitor),"A small recorder (monitor) is attached to electrodes on your chest. It is worn continuously for a period of time. If symptoms are felt, an event button can be depressed, and the heart's rhythm is recorded and saved in the recorder. The rhythm can be saved and transmitted over a phone line."
Low Density Lipoprotein (LDL),"A lipoprotein particle in the blood responsible for depositing cholesterol into the lining of the artery. Known as ""bad"" cholesterol because high LDL is linked to coronary artery disease."
Lower Esophageal Sphincter (LES),A valve located at the end of the esophagus that controls the passage of food from the esophagus to the stomach when you swallow.
Lumen,The hollow cavity of a blood vessel or other tubular organ.
Lung Biopsy,A procedure in which several small samples of lung tissue are removed through a small incision between the ribs. The lung tissue is examined under a microscope by expert pathologists and may also be sent to a laboratory to be cultured. The lung tissue is examined for the presence of lung diseases such as infectious or interstitial lung disease.
Lung Cancer,The uncontrolled growth of abnormal cells in the lung or lungs. The uncontrolled reproduction of cells results in the formation of tumors that can block or compress airways and displace or damage normal lung tissue. This can make the lung stop functioning as it should.
Lung Failure,Also called respiratory failure. The sudden inability of the lungs to provide normal oxygen delivery or normal carbon dioxide removal.
Lung Nodule,"Also called pulmonary nodule. A round lesion or growth located within the lung. Lung nodules usually do not cause symptoms, but may be detected on a chest x-ray. More than half of lung nodules are noncancerous (benign) and may be caused by a previous infection. A needle biopsy may be required to test the nodule to determine if is benign or malignant."
Lung Transplant,A surgical procedure in which a healthy lung from a donor replaces the recipient's unhealthy lung. Lung transplant is a treatment option reserved for selected patients with chronic lung diseases.
Lung Volume Reduction Surgery,"A surgical procedure performed to remove diseased, emphysematous lung tissue. This procedure reduces the size of an over-inflated lung and allows the expansion of the remaining, often more functional lung. This surgery has been shown to help improve breathing ability, lung capacity and overall quality of life in selected patients."
Lupus (SLE - Systemic Lupus Erythematosus),"A chronic autoimmune disorder in which a person's natural antibodies, which normally fight infection, damage parts of the central nervous system, connective tissue, or internal organs such as the lungs or kidneys. Lupus can cause heart valve disorders."
Lymphatic Vessels,Drain lymph from tissues and returns it to the blood.
Lymphedema,Chronic swelling of an arm or leg due to a blockage of the lymph vessels.
Lymphoma,Cancer that occurs in cells of the lymphatic system. Lymphoma includes Hodgkin’s disease and non Hodgkin’s lymphoma.
Magnetic Resonance Imaging (MRI),A test that produces high-quality still and moving pictures of the heart and large blood vessels. MRI uses large magnets and radiofrequency waves to produce pictures of the body's internal structures. No X-ray exposure is involved. MRI acquires information about the heart as it is beating; creating moving images of the heart throughout its pumping cycle.
Mammary Artery,"Also called thoracic artery. Artery located in the chest wall and used for coronary artery bypass surgery. Most commonly kept intact at its origin, and sewn to the coronary artery beyond the site of blockage. If the surgeon removes the mammary artery from its origin to use as a bypass graft, it is then called a ""free"" mammary artery bypass graft."
Marfan Syndrome,"A condition that affects the connective tissue. Connective tissue holds the body together and provides support to many structures throughout the body. In Marfan syndrome, the body's connective tissue isn't normal. As a result, many body systems are affected, including the heart,blood vessels, bones, tendons, cartilage, eyes, nervous system, skin and lungs."
Maze Procedure,The Maze procedure is a surgical treatment for chronic atrial fibrillation. The surgeon makes multiple incisions in the atrium to form a path or maze through which the impulse can travel to reach the atrioventricular node. After this is done the atrium is sewn back together and a normal rhythm is more easily maintained.
Mechanical Valve,"In people who require heart valve replacement surgery, it is sometimes desirable to implant a mechanical valve. A mechanical valve is made of artificial parts and functions similarly to a normal heart valve. People who have a mechanical valve implanted must take blood thinners lifelong to prevent blood clots from forming on the mechanical valve."
Mediastinal Tumor,A benign or cancerous growth that forms in the area of the chest that separates the lungs (mediastinum).
Mediastinoscopy,"A minimally invasive surgical technique used to treat some mediastinal tumors. During this procedure, a small incision is made through which an instrument is passed to biopsy lymph nodes in the chest cavity. This test is performed under general anesthesia in the operating room of a hospital and takes 1 to 2 hours (same day procedure)."
Mediastinotomy,A procedure in which a tube is inserted into the chest to view the organs in the mediastinum. The tube is inserted through an incision next to the breastbone.
Mediastinum,"The area of the chest that separates the lungs. It is surrounded by the breastbone in the front, the spine in the back and the lungs on each side. It contains the heart, aorta, esophagus, thymus and trachea."
Medical Student,A student in the third or fourth year of medical school training. The student doctor assists the primary and resident doctors in daily care of patients.
Mesenteric Arterial Ultrasound,A non-invasive imaging procedure that uses high-frequency sound waves to view the arteries supplying gastrointestinal tract to determine the presence of narrowing.
Metabolic Exercise Stress Test (also called metabolic stress test),"A test used to measure the performance of the heart and lungs while they are under physical stress. The test involves walking on a treadmill or pedaling a stationary bike at increasing levels of difficulty, while being closely monitored."
Metabolism,The sum of all processes involved in converting nutrients into energy for use by the body.
Mineral,"An inorganic compound needed by the body for good health, proper metabolic functioning, and disease prevention. Examples are calcium, magnesium, and iron."
Mini-stroke,Transient Ischemic attack
Minimally Invasive Heart Surgery,Minimally Invasive Heart Surgery is a technique developed to reduce the trauma associated with surgery. The incision through which the surgeon works is smaller. This smaller incision may allow the patient to heal more rapidly and decrease the time to recovery and full activity. It also helps to reduce the pain and discomfort associated with heart surgery.
Minimally Invasive Thoracic Surgery (MIS),See video-assisted thoracic surgery.
Mitral Insufficiency,"Mitral insufficiency is a condition where blood in the left ventricle leaks back through the mitral valve into the left atrium and can back into the lungs. The mitral valve normally opens to allow blood to flow into the left ventricle and then closes, preventing blood from backing up into the atrium during the ventricle's contraction."
Mitral Stenosis,Mitral stenosis is a condition in where the mitral valve becomes narrowed or stenotic preventing the easy flow of blood from the left atrium into the left ventricle.
Mitral Valve,The mitral valve is the valve that lies between the left atrium and left ventricle (main pumping chamber of the heart). This valve allows blood to flow from the left atrium into the left ventricle and then prevents the back flow of blood into the left atrium during ventricular contraction.
mm Hg,"An abbreviation that stands for ""millimeters of mercury."" Blood pressure is measured in mm Hg."
Monounsaturated Fat,A fat composed mostly of monounsaturated fatty acids.
Morbidity Rate,The percentage of people who have complications after a procedure or treatment.
Mortality Rate,The percentage of deaths associated with a disease or medical treatment.
Motility Disorder,Also called esophageal motor disorder. A disorder affecting the movement of food from the esophagus to the stomach.
Mucus Clearing Device,Also called a PEP device. A device used to loosen mucus in the airways so it can be coughed up more easily.
Multigated Acquisition Scan (MUGA scan),A nuclear scan that evaluates the pumping function of the ventricles.
Murmur,"Turbulent blood flow through a defective heart valve or narrowed chamber, creating a ""swishing"" sound heard by a stethoscope."
Myasthenia Gravis,"A chronic disease characterized by weakness and rapid fatigue of the voluntary muscles. The weakness is due to a breakdown in communication between a nerve ending and its adjoining muscle fiber. The onset of myasthenia gravis can be sudden, with severe and generalized muscle weakness, but more often its symptoms in the early stages are subtle and variable, making it difficult to diagnose correctly."
Myocardial Biopsy (cardiac biopsy),An invasive procedure that involves using a bioptome (a small catheter with a grasping device on the end) to obtain a small piece of heart muscle tissue that is sent to a laboratory for analysis.
Myocardial Infarction (heart attack),A sudden obstruction of blood flow through a coronary artery that results in the death of heart tissue. The immediate cause of a myocardial infarction is usually a thrombus that forms near the site of ruptured plaque.
Myocarditis,An inflammation of the myocardium (heart muscle)
Myocardium,"Heart muscle. The muscular, middle layer of heart tissue that contracts rhythmically during heartbeat."
Myomectomy,In patients with idiopathic hypertrophic subaortic stenosis (IHSS) also known as hypertrophic obstructive cardiomyopathy (HOCM) one surgical option is to perform a myomectomy which is a resection of a thickened portion of the muscular septum thereby relieving the obstruction to blood flow in the left ventricle during contraction.
"Neurocardiogenic Syncope (POTS - Postural Orthostatic Tachycardia Syndrome, dysautonomia)","Dysfunction of the autonomic nervous syndrome. Causes symptoms of fatigue, dizziness, increased heart rate, and other symptoms. See syncope."
Nicotine,"Nicotine is a substance found in cigarettes and considered an addictive drug. It causes changes in the brain that make people want to use it more and more. In addition, addictive drugs cause unpleasant withdrawal symptoms. (www.heart.org/HEARTORG)"
NIH,National Institute of Health
Nissen Fundoplication,A minimally invasive procedure that corrects gastroesophageal reflux by creating an effective valve mechanism at the bottom of the esophagus.
Nitroglycerin,"A medication used to relax and dilate the blood vessels (vasodilator), improving blood flow. Nitroglycerin works very quickly and is the most common vasodilator used to treat angina (chest discomfort)."
Non-Q-wave MI,"A MI or heart attack that does not cause changes on the electrocardiogram (ECG) however, chemical markers in the blood indicate that damage has occurred to the heart muscle. In non-Q-wave MI, a clot may block the coronary artery for a period of time, and then break up by itself or collateral circulation may help to restore blood flow to the area of ischemia (lack of blood supply). The size of damage is fairly small; therefore, overall function of the heart is usually maintained."
